category,text
key,microbiology tayside tests specimenno field represents alphanumeric specimen number specimen number unique first part date department e g 06b second part number starts 100000 000001 every year combination unique 2106
key,microbiology tayside tests testcode field represents microbiology test code performed e g bc blood cultures gen genotype
event,microbiology tayside tests result field represents result may contain text based results historically truncated investigated source data nhst lab also truncated
event,microbiology tayside tests result_original column description available
key,immunology extractable immuno prochi anonymised patient identifier
key,immunology extractable immuno hb_extract field represents alpha numeric health board code patient chi information extracted
time,immunology extractable immuno sample_date field indicates date sample taken format dd mmm yyyy e g 12 oct 2011 note new system 99 time element included aswell date
object,immunology extractable immuno sample_type field represents type sample taken test pre 2005 sample type
object,immunology extractable immuno test_code field represents code test taken performed e g chla chlamydia pcr
location,immunology extractable immuno localclinicalcodedescription field represents description localclinicalcode
event,immunology extractable immuno result field represents result test done decimal format
event,immunology extractable immuno hic_derivedresult due combination old new data actual result field spread across three columns result interpretation new system origresult old system cases least 1 value one columns derived column selects appropriate value 3 columns also supplied seperately single column ease access
event,immunology extractable immuno origresult field represents original result field lab system hic extracts decimal part puts result field non numeric values go comment field tests results recorded gt lt negative positive eg gt60 egfr tests field used
event,immunology extractable immuno comment field represents additional information laboratory system free text might contain additional information laboratory test
event,immunology extractable immuno source_code field represents code test done e g n1 nw ward 1 field contain practice codes test performed practice
key,immunology extractable immuno lab_number field represents unique internal number assigned masterlab system used hic referring back individual laboratory results
object,immunology extractable immuno units field represents units test code e g hgb g dl
object,immunology extractable immuno low field represents normal lower limit laboratory test based patient age sex
object,immunology extractable immuno high field represents normal upper limit laboratory test based patient age sex
event,immunology extractable immuno lab_system field represents lab system source data came dataset manually changed thomas nind 1 old system old legacy data held hic 99 new system data loaded properly gordon mcallistar sci store tayside fife
key,immunology extractable immuno readcodevalue read code allocated test field useful standardised grouping tests example looking serum total cholesterol records marked 44p represent regardless localclinicalcode provided hic observation restructuring significantly improved quality accuracy field legacy data field completion rates much greater 95 legacy results featuring read code hic also developed lookup table used throughout data project lifecycle released along data set
object,immunology extractable immuno readcodedescription textual description supplied local lab systems relevant read code hic observation field appears mapped read code standard mapping read code description often changes possibly time versions read code example 44p may described serum total cholesterol total cholesterol different records
event,immunology extractable immuno interpretation field represents comments regarding result free text
key,biochemistry lab data restruc prochi anonymised patient identifier
key,biochemistry lab data restruc labnumberidentifiable field represents lab number
object,biochemistry lab data restruc clinicaldatarequired contains comments original requestor may give reason requesting test comments condition last eaten etc field populated legacy ts 07 data
key,biochemistry lab data restruc providingorganisationid id short name organisation providing test results e g ninewells full name see providingorganisationname
location,biochemistry lab data restruc providingorganisationname local name organisation providing test results maybe include location well service name example ninewell tayside clinical lab services
location,biochemistry lab data restruc providingorganisationtype type organisation providing test results example hospital legacy ts 07 data contains either hospital hic data pre98 hospital hic data post98 appropriate
person,biochemistry lab data restruc requestingpartyposition position held party requesting test results example might gp consultant
location,biochemistry lab data restruc requestingorganisationname laboratory providing sample legacy data contains record source example ninewells data prior pinnacle perth masterlab perth data ilims system ninewells pinnacle data
location,biochemistry lab data restruc requestingorganisationtype type organisation requestor part contains values hospital practice ward
object,biochemistry lab data restruc discipline discipline code laboratory test biochemistry tests discipline code cc represents clinical chemistry
person,biochemistry lab data restruc hb_extract alpha numeric health board code patient chi information extracted
object,biochemistry lab data restruc quantityvalue result test carried field contains numeric data
object,biochemistry lab data restruc quantityunit units measure test result quantityvalue field
object,biochemistry lab data restruc arithmeticcomparator fieldrepresents additional information used conjunction numeric result field quantityvalue contents interpreted along quantityvalue example egfr results may reported quantityvalue 60 arithmeticcomparator means result greater 60
object,biochemistry lab data restruc rangehighvalue maximum guideline value test result time testing hic observation ranges vary based relevant criteria age gender guidelines also change time
object,biochemistry lab data restruc rangelowvalue minimum guideline value test result time testing hic observation ranges vary based relevant criteria age gender guidelines also change time
object,biochemistry lab data restruc rangeunit units guideline values presented rangehighvalue rangelowvalue fields hic observation dont assume units match quantityvalue unit
object,biochemistry lab data restruc interpretation contains comments regarding result
key,biochemistry lab data restruc localclinicalcodevalue field store test code test taken performed e g chol cholesterol used providing organisation note field always completed legacy data mapping field replaces test code
event,biochemistry lab data restruc localclinicalcodedescription description localclinicalcode
event,biochemistry lab data restruc readcodevalue read code allocated test field useful standardised grouping tests example looking serum total cholesterol records marked 44p represent regardless localclinicalcode provided hic observation restructuring significantly improved quality accuracy field legacy data field completion rates much greater 95 legacy results featuring read code hic also developed lookup table used throughout data project lifecycle released along data set
event,biochemistry lab data restruc readcodescheme read code scheme used local lab system read code fields e g r1
event,biochemistry lab data restruc readcodedescription textual description supplied local lab systems relevant read code hic observation field appears mapped read code standard mapping read code description often changes possibly time versions read code example 44p may described serum total cholesterol total cholesterol different records
event,biochemistry lab data restruc clinicalcircumstancedescription textual description supplied local lab systems
key,biochemistry lab data restruc testresultorder part internal hic primary key used linking labs data together field used communicating record specific queries hic allows us locate record question unique identifier assigned lab system based order tests run sample legacy data ts 07 value field imputed
key,biochemistry lab data restruc labnumber part internal hic primary key used linking labs data together unique identifier assigned lab system field used communicating record specific queries hic allows us locate record question
key,biochemistry lab data restruc testreportid part internal hic primary key used linking labs data together unique identifier assigned lab system field used communicating record specific queries hic allows us locate record question legacy data tayside 2007 value field constant
event,biochemistry lab data restruc samplename indicates type sample taken test sample types include blood cerebrospinal faeces fluid fluoride oxalate hair liver biopsy miscellaneous muscle biopsy serum skin biopsy stone sweat urine water hic observation tayside labs report serum blood samples samplename blood read code value description used interpret sample correctly confirmed tayside lab experts
time,biochemistry lab data restruc datetimesampled date time sample taken patient
event,biochemistry lab data restruc samplerequestercomment field free text
event,biochemistry lab data restruc serviceprovidercomment legacy data field tells samplename field derived samplename completed decision original sample type take coded follows rca sample derived hics read code analysis workshops hic assisted researchers clinicians validated tayside laboratory experts used available data assign standardised read codes large portion data 95 samplename derived allocated read code header lkp legacy sample header legacy hic lookup value relevant test code matched lkp header legacy sample header consisted multiple values e g b u fo contained hic lookup value e g blood relevant test code example final samplename value would blood header information available legacy sample header type lkp information available legacy hic lookup sample type relevant test code samplename unknown lkp header information stored either legacy header look test code header legacy header sample type provided ambiguous e g b fo original value recorded field example stored value would header b fo header lookup legacy header sample type provide conflicting values field also records original values
key,biochemistry lab data restruc testidentifier part internal hic primary key used linking labs data together unique identifier assigned lab system field used communicating record specific queries hic allows us locate record question
