category,text
object,Haematology  Lab Data Restruct readcodedescription This is a textual description supplied by the local lab systems for the relevant read code  HIC Observation  This field appears to have not been mapped to the read code standard  The mapping of read code to description often changes  possibly over time  or versions of read code  for example  44P  may be described as both  Serum Total Cholesterol  and  Total Cholesterol  S   on different records  
event,Haematology  Lab Data Restruct clinicalcircumstancedescription This is a textual description supplied by the local lab systems  
key,Haematology  Lab Data Restruct testresultorder Part of the internal HIC primary key used in linking the Labs data together  This field should be used in communicating record specific queries with HIC as it allows us to locate the record in question  This is a unique identifier assigned by the lab system based on the order in which the tests were run on the sample  For legacy data  TS  07   the value of this field is imputed   
key,Haematology  Lab Data Restruct hic_resultid No Column Description Available
key,Haematology  Lab Data Restruct hic_dataloadrunid No Column Description Available
time,Haematology  Lab Data Restruct hic_validfrom The date the record was loaded by hic into the LIVE hic data repository 
event,Haematology  Lab Data Restruct samplename This indicates the type of sample taken for the test  Sample types include  B   Blood C   Cerebrospinal FA   Faeces F   Fluid FO   Floride Oxalate H   Hair LI   Liver Biopsy M   Miscellaneous MU   Muscle Biopsy SK   Skin Biopsy ST   Stone SW   Sweat U   Urine W   Water  can also include full textual descriptions   
time,Haematology  Lab Data Restruct datetimesampled This is the date and time when the sample was taken from the patient  
time,Haematology  Lab Data Restruct datetimereceived No Column Description Available
event,Haematology  Lab Data Restruct samplerequestercomment No Column Description Available
event,Haematology  Lab Data Restruct serviceprovidercomment For legacy data  this field tells you how the SampleName field was derived  Where SampleName is completed  the decision on which original sample type to take is coded as follows   RCA   The sample was derived during HICs Read Code Analysis workshops  HIC  assisted by researchers  clinicians  and validated by Taysdie laboratory experts used all of the available data to assign standardisaed read codes to a large portion of the data  95     The SampleName was derived from the allocated read code   Header   lkp   Both legacy sample header and legacy HIC lookup value for the relevant test code matched   lkp in header   The legacy sample header consisted of multiple values  e g   B   U   FO    but contained the HIC lookup value  e g   Blood   for the relevant test code  For this example  the final SampleName value would be  Blood    header only   There was no information available other than the legacy sample header type   lkp only   There was no information available other than the legacy HIC lookup sample type for the relevant test code  For SampleName    Unknown   no lkp  no header    No information stored in either legacy header or look up for the test code   Header only   Only a legacy header sample type was provided  and is ambiguoius  e g   B   FO   M  This original value is recorded in this field  for this example  the stored value would be  Header only   B   FO   M   Header      Lookup         The legacy header and sample type provide conflicting values  This field also records the original values   
event,Haematology  Lab Data Restruct testset_clinicalcircumstancedescription This is a textual description supplied by the local lab systems  
key,Haematology  Lab Data Restruct testset_readcodevalue The read code allocated to the test  This field is useful as a standardised grouping for the tests  for example  if you are looking in Serum Total Cholesterol  all records marked with 44P  represent this regardless of the localClinicalCode provided  HIC Observation  Restructuring has significantly improved the quality and accuracy of this field  For legacy data  field completion rates are much greater  with over 95  of the legacy results now featuring a read code  HIC have also developed a lookup table  which will be used throughout the data project lifecycle and released along with this data set  
object,Haematology  Lab Data Restruct testset_readcodescheme Read code scheme used by the local lab system for read code fields  e g  R1 
object,Haematology  Lab Data Restruct testset_readcodedescription This field represents the read code description 
object,Haematology  Lab Data Restruct testset_localclinicalcodedescription Description of LocalClinicalCode 
key,Haematology  Lab Data Restruct testset_localclinicalcodevalue This field store the test code for the test taken performed  e g   CHOL   Cholesterol  as used by the providing organisation  Note that this field is not always completed  Legacy Data Mapping  This field replaces Test code  
object,Haematology  Lab Data Restruct testset_localclinicalcodescheme No Column Description Available
key,Haematology  Lab Data Restruct testset_localclinicalcodeschemeid No Column Description Available
key,Haematology  Lab Data Restruct testidentifier This field represents a unique number to the patient and test and is anonymised on extraction 
object,Microbiology   Tayside Tests testcode_desc This field represents the description for TestCode 
key,Microbiology   Tayside Tests prochi Anonymised patient identifier
time,Microbiology   Tayside Tests sampleyear No Column Description Available
time,Microbiology   Tayside Tests sampledate No Column Description Available
key,Microbiology   Tayside Tests specimenno This field represents the alphanumeric specimen number  The specimen number is unique with the first part as date and department  e g  06B   The second part is the number  This starts at 100000 or 000001 every year  The combination is unique  until 2106…   
key,Microbiology   Tayside Tests testcode This field represents the microbiology test code that was performed  e g   BC   Blood Cultures  GEN   Genotype   
event,Microbiology   Tayside Tests result This field represents the result  This may contain text based results  which have historically been truncated  This has been investigated  and the source data from NHST lab has also been truncated  
event,Microbiology   Tayside Tests result_original No Column Description Available
key,Immunology  Extractable Immuno prochi Anonymised patient identifier
key,Immunology  Extractable Immuno hb_extract This field represents the alpha and or numeric Health Board code in which the patient CHI information was extracted from   
time,Immunology  Extractable Immuno sample_date This field indicates the date when the sample was taken  It is in the format dd MMM yyyy  e g  12 Oct 2011   Note that in the new system 99 the time element is included aswell as the date  
object,Immunology  Extractable Immuno sample_type This field represents the type of sample taken for the test  The pre 2005 sample type is all D  
object,Immunology  Extractable Immuno test_code This field represents the code for the test taken performed  e g  CHLA   Chlamydia PCR   
location,Immunology  Extractable Immuno localclinicalcodedescription This field represents the description of LocalClinicalCode 
event,Immunology  Extractable Immuno result This field represents the result of the test done in decimal format  
event,Immunology  Extractable Immuno hic_derivedresult Due to the combination of old and new data the actual result field is spread across three columns  Result  Interpretation  in the new system  and origResult  in the old system   In all cases there should be at least 1 value in one of these columns  This is a derived column which selects the most appropriate value  if any  of these 3 columns  Also supplied seperately  in a single column for ease of access  
event,Immunology  Extractable Immuno origresult This field represents the original result field from the lab system  HIC extracts the decimal part and puts it in the Result field  Any non numeric values go into the Comment field   For some tests where results are recorded as GT or LT or Negative Positive  eg GT60 for eGFR tests  then this field will have to be used 
event,Immunology  Extractable Immuno comment This field represents additional information from the laboratory system in free text   It might contain additional information about the laboratory test 
event,Immunology  Extractable Immuno source_code This field represents the code for where the test was done  e g  N1   NW Ward 1    This field does contain practice codes if the test was performed at a practice 
key,Immunology  Extractable Immuno lab_number This field represents a unique internal number assigned in MasterLab system  It is used by HIC for referring back to individual laboratory results  
object,Immunology  Extractable Immuno units This field represents the units of the test code  e g  HGB   g dL    
object,Immunology  Extractable Immuno low This field represents the normal lower limit for a laboratory test based on patient age and or sex   
object,Immunology  Extractable Immuno high This field represents the normal upper limit for a laboratory test based on patient age and or sex  
event,Immunology  Extractable Immuno lab_system This field represents the Lab System source the data came from  For this dataset it is manually changed by Thomas Nind to 1 for old system  All the old legacy data held by HIC  and 99 for new system  Data loaded properly by Gordon McAllistar from Sci Store Tayside and Fife   
key,Immunology  Extractable Immuno readcodevalue The read code allocated to the test  This field is useful as a standardised grouping for the tests  for example  if you are looking in Serum Total Cholesterol  all records marked with 44P  represent this regardless of the localClinicalCode provided  HIC Observation  Restructuring has significantly improved the quality and accuracy of this field  For legacy data  field completion rates are much greater  with over 95  of the legacy results now featuring a read code  HIC have also developed a lookup table  which will be used throughout the data project lifecycle and released along with this data set  
object,Immunology  Extractable Immuno readcodedescription This is a textual description supplied by the local lab systems for the relevant read code  HIC Observation  This field appears to have not been mapped to the read code standard  The mapping of read code to description often changes  possibly over time  or versions of read code  for example  44P  may be described as both  Serum Total Cholesterol  and  Total Cholesterol  S   on different records  
event,Immunology  Extractable Immuno interpretation This field represents comments regarding the result in free text 
key,Biochemistry  Lab Data Restruc prochi Anonymised patient identifier
key,Biochemistry  Lab Data Restruc labnumberidentifiable This field represents the Lab Number 
object,Biochemistry  Lab Data Restruc clinicaldatarequired Contains comments from the original requestor  May give the reason for requesting the test  or comments on condition  last eaten etc  This field is not populated for legacy  TS   07  data  
key,Biochemistry  Lab Data Restruc providingorganisationid ID   short name of the organisation providing the test results  E G  NINEWELLS  For full name see ProvidingOrganisationName  
location,Biochemistry  Lab Data Restruc providingorganisationname Local name of the organisation providing the test results  This maybe include location as well as service name  for example   NINEWELL  Tayside Clinical Lab Services 
location,Biochemistry  Lab Data Restruc providingorganisationtype Type of organisation providing the test results  For Example  Hospital  For legacy  TS   07  data  this contains either  Hospital   HIC data   Pre98 or Hospital   HIC data   Post98 as appropriate  
person,Biochemistry  Lab Data Restruc requestingpartyposition Position held by the party requesting the test results  for example  this might be GP or Consultant  
location,Biochemistry  Lab Data Restruc requestingorganisationname The laboratory providing the sample  For legacy data  this contains the record source  for example  Ninewells Data prior to Pinnacle Perth Masterlab Perth data from Ilims system Ninewells Pinnacle Data 
location,Biochemistry  Lab Data Restruc requestingorganisationtype The type of organisation that the requestor is part of  This contains values such as  Hospital Practice Ward 
object,Biochemistry  Lab Data Restruc discipline This is the discipline code for the laboratory test  For all biochemistry tests  the discipline code is CC  which represents Clinical Chemistry   
person,Biochemistry  Lab Data Restruc hb_extract This is the alpha and or numeric Health Board code in which the patient CHI information was extracted from   
object,Biochemistry  Lab Data Restruc quantityvalue The result of the test being carried out  This field contains numeric data only   
object,Biochemistry  Lab Data Restruc quantityunit Units of measure for the test result QuantityValue field  
object,Biochemistry  Lab Data Restruc arithmeticcomparator This fieldrepresents additional information to be used in conjunction with the numeric result field QuantityValue  The contents should be interpreted along with the QuantityValue  for example  some EGFR results may be reported as QuantityValue   60  with ArithmeticComparator       This means the result is greater than 60  
object,Biochemistry  Lab Data Restruc rangehighvalue Maximum guideline value for the test result at the time of testing  HIC Observation  These ranges vary based on relevant criteria such as age  gender  and guidelines will also change over time  
object,Biochemistry  Lab Data Restruc rangelowvalue Minimum guideline value for the test result at the time of testing  HIC Observation  These ranges vary based on relevant criteria such as age  gender  and guidelines will also change over time  
object,Biochemistry  Lab Data Restruc rangeunit Units of the guideline values presented in the RangeHighValue and RangeLowValue fields  HIC Observation  Don t assume that these units match those of the QuantityValue and Unit  
object,Biochemistry  Lab Data Restruc interpretation Contains comments regarding the result  
key,Biochemistry  Lab Data Restruc localclinicalcodevalue This field store the test code for the test taken performed  e g   CHOL   Cholesterol  as used by the providing organisation  Note that this field is not always completed  Legacy Data Mapping  This field replaces Test code  
event,Biochemistry  Lab Data Restruc localclinicalcodedescription Description of LocalClinicalCode 
event,Biochemistry  Lab Data Restruc readcodevalue The read code allocated to the test  This field is useful as a standardised grouping for the tests  for example  if you are looking in Serum Total Cholesterol  all records marked with 44P  represent this regardless of the localClinicalCode provided  HIC Observation  Restructuring has significantly improved the quality and accuracy of this field  For legacy data  field completion rates are much greater  with over 95  of the legacy results now featuring a read code  HIC have also developed a lookup table  which will be used throughout the data project lifecycle and released along with this data set  
event,Biochemistry  Lab Data Restruc readcodescheme Read code scheme used by the local lab system for read code fields  e g  R1 
event,Biochemistry  Lab Data Restruc readcodedescription This is a textual description supplied by the local lab systems for the relevant read code  HIC Observation  This field appears to have not been mapped to the read code standard  The mapping of read code to description often changes  possibly over time  or versions of read code  for example  44P  may be described as both  Serum Total Cholesterol  and  Total Cholesterol  S   on different records  
event,Biochemistry  Lab Data Restruc clinicalcircumstancedescription This is a textual description supplied by the local lab systems  
key,Biochemistry  Lab Data Restruc testresultorder Part of the internal HIC primary key used in linking the Labs data together  This field should be used in communicating record specific queries with HIC as it allows us to locate the record in question  This is a unique identifier assigned by the lab system based on the order in which the tests were run on the sample  For legacy data  TS  07   the value of this field is imputed   
key,Biochemistry  Lab Data Restruc labnumber Part of the internal HIC primary key used in linking the Labs data together  This is a unique identifier assigned by the lab system  This field should be used in communicating record specific queries with HIC as it allows us to locate the record in question   
key,Biochemistry  Lab Data Restruc testreportid Part of the internal HIC primary key used in linking the Labs data together  This is a unique identifier assigned by the lab system  This field should be used in communicating record specific queries with HIC as it allows us to locate the record in question  For legacy data  Tayside  2007   the value of this field is constant  
event,Biochemistry  Lab Data Restruc samplename This indicates the type of sample taken for the test  Sample types include  Blood Cerebrospinal Faeces Fluid Fluoride Oxalate Hair Liver Biopsy Miscellaneous Muscle Biopsy Serum Skin Biopsy Stone Sweat Urine Water HIC Observation  Tayside labs report both Serum and Blood samples with SampleName   Blood  The read code value   description can be used to interpret the Sample correctly  This has been confirmed with the Tayside Lab experts  
time,Biochemistry  Lab Data Restruc datetimesampled This is the date and time when the sample was taken from the patient  
event,Biochemistry  Lab Data Restruc samplerequestercomment This field is free text 
event,Biochemistry  Lab Data Restruc serviceprovidercomment For legacy data  this field tells you how the SampleName field was derived  Where SampleName is completed  the decision on which original sample type to take is coded as follows   RCA   The sample was derived during HICs Read Code Analysis workshops  HIC  assisted by researchers  clinicians  and validated by Tayside laboratory experts used all of the available data to assign standardised read codes to a large portion of the data  95     The SampleName was derived from the allocated read code   Header   lkp   Both legacy sample header and legacy HIC lookup value for the relevant test code matched   lkp in header   The legacy sample header consisted of multiple values  e g   B   U   FO    but contained the HIC lookup value  e g   Blood   for the relevant test code  For this example  the final SampleName value would be  Blood    header only   There was no information available other than the legacy sample header type   lkp only   There was no information available other than the legacy HIC lookup sample type for the relevant test code  For SampleName    Unknown   no lkp  no header    No information stored in either legacy header or look up for the test code   Header only   Only a legacy header sample type was provided  and is ambiguous  e g   B   FO   M  This original value is recorded in this field  for this example  the stored value would be  Header only   B   FO   M   Header      Lookup         The legacy header and sample type provide conflicting values  This field also records the original values   
key,Biochemistry  Lab Data Restruc testidentifier Part of the internal HIC primary key used in linking the Labs data together  This is a unique identifier assigned by the lab system  This field should be used in communicating record specific queries with HIC as it allows us to locate the record in question  
