Source,Field,Field(lower),Descriptor,Label,category,text
Order Entry DM,ORGID,orgid,Medical specialist plus place of work ,key,key,Order Entry DM ORGID Medical specialist plus place of work 
Monitoring Parameters DM,PERNR,pernr,Professional unique identifier,key,key,Monitoring Parameters DM PERNR Professional unique identifier
Medication DM,FALNR,falnr,Unique episode identifier,key,key,Medication DM FALNR Unique episode identifier
Medication DM,PERNR,pernr,Professional unique identifier,key,key,Medication DM PERNR Professional unique identifier
Diagnostic DM,FALNR,falnr,Unique episode identifier,key,key,Diagnostic DM FALNR Unique episode identifier
Episode DM,PERNR,pernr,ID of the professional that created the registry,key,key,Episode DM PERNR ID of the professional that created the registry
Monitoring Parameters DM,VPPID,vppid,ID vital parameter APPEND 10,key,key,Monitoring Parameters DM VPPID ID vital parameter APPEND 10
Diagnostic DM,EINRI,einri,Medical Centre,key,key,Diagnostic DM EINRI Medical Centre
Monitoring Parameters DM,PATNR,patnr,Unique patient identifier,key,key,Monitoring Parameters DM PATNR Unique patient identifier
Medication DM,EINRI,einri,Medical Center,key,key,Medication DM EINRI Medical Center
Episode DM,FALNR,falnr,Unique episode identifier,key,key,Episode DM FALNR Unique episode identifier
Vital Signs DM,FALNR,falnr,Unique episode identifier,key,key,Vital Signs DM FALNR Unique episode identifier
Patient Adress DM,ORT,ort,Town,location,location,Patient Adress DM ORT Town
Patient Adress DM,STRAS,stras,Streeet and floor,location,location,Patient Adress DM STRAS Streeet and floor
Patient Adress DM,PSTLZ,pstlz,Postal Code,location,location,Patient Adress DM PSTLZ Postal Code
Patient Adress DM,ADRNR,adrnr,House number ,location,location,Patient Adress DM ADRNR House number 
Patient Adress DM,FLOOR,floor, Floor,location,location,Patient Adress DM FLOOR  Floor
Pacient DM,TELF1,telf1, Patient telephone,person,person,Pacient DM TELF1  Patient telephone
Professional DM,ERUSR,erusr,Username of the professional,person,person,Professional DM ERUSR Username of the professional
Pacient DM,GBDAT,gbdat,Date of born,person,person,Pacient DM GBDAT Date of born
Pacient DM,RVNUM,rvnum,Social Healthcare number,person,person,Pacient DM RVNUM Social Healthcare number
Professional DM,GBDAT,gbdat,Date of birth,person,person,Professional DM GBDAT Date of birth
Pacient DM,NAMZU ,namzu ,  Sr or Sra naming,person,person,Pacient DM NAMZU    Sr or Sra naming
Professional DM,RANK,rank,Jerarchy  APPEND 8,person,person,Professional DM RANK Jerarchy  APPEND 8
Pacient DM,NNAME,nname,First surname,person,person,Pacient DM NNAME First surname
Pacient DM,GLRAND,glrand,Patient nationality ,person,person,Pacient DM GLRAND Patient nationality 
Pacient DM,GSCHL,gschl,Genere  Sex ,person,person,Pacient DM GSCHL Genere  Sex 
Pacient DM,GBNAM,gbnam,Second surname,person,person,Pacient DM GBNAM Second surname
Pacient DM,VNAME,vname,Name,person,person,Pacient DM VNAME Name
Professional DM,BEGDT,begdt,Start of the validity of the record ,time,time,Professional DM BEGDT Start of the validity of the record 
Vital Signs DM,ERDAT,erdat,Date of the creation of the record,time,time,Vital Signs DM ERDAT Date of the creation of the record
Monitoring Parameters DM,DATYP,datyp,Date of the creation of the registry,time,time,Monitoring Parameters DM DATYP Date of the creation of the registry
Episode DM,BEGDT,begdt,Date of the start of the episode,time,time,Episode DM BEGDT Date of the start of the episode
Medication DM,ERDAT,erdat,Date of the creation of the registry,time,time,Medication DM ERDAT Date of the creation of the registry
Episode DM,ENDDT,enddt,Date of end of the episode,time,time,Episode DM ENDDT Date of end of the episode
Medication DM,STDAT,stdat,Date of anulation,time,time,Medication DM STDAT Date of anulation
Professional DM,ENDDT,enddt,End of the validity of the record ,time,time,Professional DM ENDDT End of the validity of the record 
Professional DM,ERDAT,erdat,Date of the creation of the record ,time,time,Professional DM ERDAT Date of the creation of the record 
Haematology  Lab Data Restruct,SampleRequesterComment,samplerequestercomment,No Column Description Available,event,event,Haematology  Lab Data Restruct SampleRequesterComment No Column Description Available
Cataracts Biometry Cataract su,Meridian_K1FE,meridian_k1fe,Meridian K1FE,event,event,Cataracts Biometry Cataract su Meridian_K1FE Meridian K1FE
Haematology  Lab Data Restruct,ClinicalDataRequired,clinicaldatarequired,Contains comments from the original requestor  May give the reason for requesting the test  or comments on condition  last eaten etc  This field is not populated for legacy data  ,event,event,Haematology  Lab Data Restruct ClinicalDataRequired Contains comments from the original requestor  May give the reason for requesting the test  or comments on condition  last eaten etc  This field is not populated for legacy data  
Immunology  Extractable Immuno,Result,result,This field represents the result of the test done in decimal format  ,event,event,Immunology  Extractable Immuno Result This field represents the result of the test done in decimal format  
Cataracts Biometry Cataract su,LensThicknessFE,lensthicknessfe,LensThicknessFE,event,event,Cataracts Biometry Cataract su LensThicknessFE LensThicknessFE
Cataracts Biometry Cataract su,A1FE,a1fe,A1FE,event,event,Cataracts Biometry Cataract su A1FE A1FE
Haematology  Lab Data Restruct,TestSet_ClinicalCircumstanceDescription,testset_clinicalcircumstancedescription,This is a textual description supplied by the local lab systems  ,event,event,Haematology  Lab Data Restruct TestSet_ClinicalCircumstanceDescription This is a textual description supplied by the local lab systems  
Microbiology   Tayside Tests,Result,result,This field represents the result  This may contain text based results  which have historically been truncated  This has been investigated  and the source data from NHST lab has also been truncated  ,event,event,Microbiology   Tayside Tests Result This field represents the result  This may contain text based results  which have historically been truncated  This has been investigated  and the source data from NHST lab has also been truncated  
Cataracts Biometry Cataract su,DeltaK1_DFE,deltak1_dfe,DeltaK1 DFE,event,event,Cataracts Biometry Cataract su DeltaK1_DFE DeltaK1 DFE
Cataracts Biometry Cataract su,Dioptres_K1,dioptres_k1,Dioptres K1,event,event,Cataracts Biometry Cataract su Dioptres_K1 Dioptres K1
Pathology  Tayside ,ResultTextLarge,resulttextlarge,This field represents the test results in   seperated form ,event,event,Pathology  Tayside  ResultTextLarge This field represents the test results in   seperated form 
Cataracts Biometry Cataract su,FellowEyeIndicator,felloweyeindicator,FellowEyeIndicator,event,event,Cataracts Biometry Cataract su FellowEyeIndicator FellowEyeIndicator
Cataracts Biometry Cataract su,AxialLengthRange,axiallengthrange,AxialLengthRange,event,event,Cataracts Biometry Cataract su AxialLengthRange AxialLengthRange
Biochemistry  Lab Data Restruc,LocalClinicalCodeDescription,localclinicalcodedescription,Description of LocalClinicalCode ,event,event,Biochemistry  Lab Data Restruc LocalClinicalCodeDescription Description of LocalClinicalCode 
Biochemistry  Lab Data Restruc,ClinicalCircumstanceDescription,clinicalcircumstancedescription,This is a textual description supplied by the local lab systems  ,event,event,Biochemistry  Lab Data Restruc ClinicalCircumstanceDescription This is a textual description supplied by the local lab systems  
f clinical Optimum Patient Car,numeric_2,numeric_2,Secondary numerical field  esp  used for measures implying succession or multiple takes,event,event,f clinical Optimum Patient Car numeric_2 Secondary numerical field  esp  used for measures implying succession or multiple takes
Biochemistry  Lab Data Restruc,ReadCodeValue,readcodevalue,The read code allocated to the test  This field is useful as a standardised grouping for the tests  for example  if you are looking in Serum Total Cholesterol  all records marked with 44P  represent this regardless of the localClinicalCode provided  HIC Observation  Restructuring has significantly improved the quality and accuracy of this field  For legacy data  field completion rates are much greater  with over 95  of the legacy results now featuring a read code  HIC have also developed a lookup table  which will be used throughout the data project lifecycle and released along with this data set  ,event,event,Biochemistry  Lab Data Restruc ReadCodeValue The read code allocated to the test  This field is useful as a standardised grouping for the tests  for example  if you are looking in Serum Total Cholesterol  all records marked with 44P  represent this regardless of the localClinicalCode provided  HIC Observation  Restructuring has significantly improved the quality and accuracy of this field  For legacy data  field completion rates are much greater  with over 95  of the legacy results now featuring a read code  HIC have also developed a lookup table  which will be used throughout the data project lifecycle and released along with this data set  
Cataracts Biometry Cataract su,ACDFE,acdfe,ACDFE,event,event,Cataracts Biometry Cataract su ACDFE ACDFE
Pathology  Tayside ,AllSpecimenTypeCodes,allspecimentypecodes,The specimens field has an entry for each request can comprise a number of specimens  This field contains the codes of each of the specimens based on our attempt to best describe the tissue sent in  ,event,event,Pathology  Tayside  AllSpecimenTypeCodes The specimens field has an entry for each request can comprise a number of specimens  This field contains the codes of each of the specimens based on our attempt to best describe the tissue sent in  
Cataracts Biometry Cataract su,PPOR,ppor,PPOR,event,event,Cataracts Biometry Cataract su PPOR PPOR
Cataracts Biometry Cataract su,PPORFE,pporfe,PPORFE,event,event,Cataracts Biometry Cataract su PPORFE PPORFE
Cataracts Biometry Cataract su,KeratometryIndex,keratometryindex,KeratometryIndex,event,event,Cataracts Biometry Cataract su KeratometryIndex KeratometryIndex
Screening Eye images and retin,screeningObservationName,screeningobservationname,The Name of the observation to be measured,event,event,Screening Eye images and retin screeningObservationName The Name of the observation to be measured
Haematology  Lab Data Restruct,QuantityUnit,quantityunit,Units of measure for the test result QuantityValue field  ,event,event,Haematology  Lab Data Restruct QuantityUnit Units of measure for the test result QuantityValue field  
Cataracts Biometry Cataract su,mm_K1FE,mm_k1fe,mm K1FE,event,event,Cataracts Biometry Cataract su mm_K1FE mm K1FE
Haematology  Lab Data Restruct,ClinicalCircumstanceDescription,clinicalcircumstancedescription,This is a textual description supplied by the local lab systems  ,event,event,Haematology  Lab Data Restruct ClinicalCircumstanceDescription This is a textual description supplied by the local lab systems  
Biochemistry  Lab Data Restruc,SampleRequesterComment,samplerequestercomment,This field is free text ,event,event,Biochemistry  Lab Data Restruc SampleRequesterComment This field is free text 
Grading Eye images and retinop,worstGradeEitherEye,worstgradeeithereye,The worst retinal grade from whichever eye that determined the outcome,event,event,Grading Eye images and retinop worstGradeEitherEye The worst retinal grade from whichever eye that determined the outcome
Biochemistry  Lab Data Restruc,ReadCodeScheme,readcodescheme,Read code scheme used by the local lab system for read code fields  e g  R1 ,event,event,Biochemistry  Lab Data Restruc ReadCodeScheme Read code scheme used by the local lab system for read code fields  e g  R1 
Cataracts Biometry Cataract su,DeltaK1_D,deltak1_d,DeltaK1 D,event,event,Cataracts Biometry Cataract su DeltaK1_D DeltaK1 D
Cataracts Biometry Cataract su,Dioptres_K2FE,dioptres_k2fe,Dioptres K2FE,event,event,Cataracts Biometry Cataract su Dioptres_K2FE Dioptres K2FE
Cataracts Biometry Cataract su,A2,a2,A2,event,event,Cataracts Biometry Cataract su A2 A2
Grading Eye images and retinop,screeningOutcome,screeningoutcome,The outcome determined from the associated observations of the encounter and grading procedure,event,event,Grading Eye images and retinop screeningOutcome The outcome determined from the associated observations of the encounter and grading procedure
Cataracts Biometry Cataract su,DeltaK,deltak,DeltaK,event,event,Cataracts Biometry Cataract su DeltaK DeltaK
Haematology  Lab Data Restruct,Interpretation,interpretation,Contains comments regarding the result  ,event,event,Haematology  Lab Data Restruct Interpretation Contains comments regarding the result  
Haematology  Lab Data Restruct,SampleName,samplename,This indicates the type of sample taken for the test  Sample types include  B   Blood C   Cerebrospinal FA   Faeces F   Fluid FO   Floride Oxalate H   Hair LI   Liver Biopsy M   Miscellaneous MU   Muscle Biopsy SK   Skin Biopsy ST   Stone SW   Sweat U   Urine W   Water  can also include full textual descriptions   ,event,event,Haematology  Lab Data Restruct SampleName This indicates the type of sample taken for the test  Sample types include  B   Blood C   Cerebrospinal FA   Faeces F   Fluid FO   Floride Oxalate H   Hair LI   Liver Biopsy M   Miscellaneous MU   Muscle Biopsy SK   Skin Biopsy ST   Stone SW   Sweat U   Urine W   Water  can also include full textual descriptions   
Cataracts Biometry Cataract su,A0FE,a0fe,A0FE,event,event,Cataracts Biometry Cataract su A0FE A0FE
Biochemistry  Lab Data Restruc,ServiceProviderComment,serviceprovidercomment,For legacy data  this field tells you how the SampleName field was derived  Where SampleName is completed  the decision on which original sample type to take is coded as follows   RCA   The sample was derived during HICs Read Code Analysis workshops  HIC  assisted by researchers  clinicians  and validated by Tayside laboratory experts used all of the available data to assign standardised read codes to a large portion of the data  95     The SampleName was derived from the allocated read code   Header   lkp   Both legacy sample header and legacy HIC lookup value for the relevant test code matched   lkp in header   The legacy sample header consisted of multiple values  e g   B   U   FO    but contained the HIC lookup value  e g   Blood   for the relevant test code  For this example  the final SampleName value would be  Blood    header only   There was no information available other than the legacy sample header type   lkp only   There was no information available other than the legacy HIC lookup sample type for the relevant test code  For SampleName    Unknown   no lkp  no header    No information stored in either legacy header or look up for the test code   Header only   Only a legacy header sample type was provided  and is ambiguous  e g   B   FO   M  This original value is recorded in this field  for this example  the stored value would be  Header only   B   FO   M   Header      Lookup         The legacy header and sample type provide conflicting values  This field also records the original values   ,event,event,Biochemistry  Lab Data Restruc ServiceProviderComment For legacy data  this field tells you how the SampleName field was derived  Where SampleName is completed  the decision on which original sample type to take is coded as follows   RCA   The sample was derived during HICs Read Code Analysis workshops  HIC  assisted by researchers  clinicians  and validated by Tayside laboratory experts used all of the available data to assign standardised read codes to a large portion of the data  95     The SampleName was derived from the allocated read code   Header   lkp   Both legacy sample header and legacy HIC lookup value for the relevant test code matched   lkp in header   The legacy sample header consisted of multiple values  e g   B   U   FO    but contained the HIC lookup value  e g   Blood   for the relevant test code  For this example  the final SampleName value would be  Blood    header only   There was no information available other than the legacy sample header type   lkp only   There was no information available other than the legacy HIC lookup sample type for the relevant test code  For SampleName    Unknown   no lkp  no header    No information stored in either legacy header or look up for the test code   Header only   Only a legacy header sample type was provided  and is ambiguous  e g   B   FO   M  This original value is recorded in this field  for this example  the stored value would be  Header only   B   FO   M   Header      Lookup         The legacy header and sample type provide conflicting values  This field also records the original values   
Immunology  Extractable Immuno,Comment,comment,This field represents additional information from the laboratory system in free text   It might contain additional information about the laboratory test ,event,event,Immunology  Extractable Immuno Comment This field represents additional information from the laboratory system in free text   It might contain additional information about the laboratory test 
Cataracts Biometry Cataract su,A2FE,a2fe,A2FE,event,event,Cataracts Biometry Cataract su A2FE A2FE
Cataracts Biometry Cataract su,Dioptres_MeanKFE,dioptres_meankfe,Dioptres MeanKFE,event,event,Cataracts Biometry Cataract su Dioptres_MeanKFE Dioptres MeanKFE
Cataracts Biometry Cataract su,A1,a1,A1,event,event,Cataracts Biometry Cataract su A1 A1
Cataracts Biometry Cataract su,DeltaKFE,deltakfe,DeltaKFE,event,event,Cataracts Biometry Cataract su DeltaKFE DeltaKFE
Cataracts Biometry Cataract su,Dioptres_K1FE,dioptres_k1fe,Dioptres K1FE,event,event,Cataracts Biometry Cataract su Dioptres_K1FE Dioptres K1FE
Cataracts Biometry Cataract su,KeratometryIndexFE,keratometryindexfe,KeratometryIndexFE,event,event,Cataracts Biometry Cataract su KeratometryIndexFE KeratometryIndexFE
Cataracts Biometry Cataract su,Dioptres_K2,dioptres_k2,Dioptres K2,event,event,Cataracts Biometry Cataract su Dioptres_K2 Dioptres K2
Immunology  Extractable Immuno,Interpretation,interpretation,This field represents comments regarding the result in free text ,event,event,Immunology  Extractable Immuno Interpretation This field represents comments regarding the result in free text 
Cataracts Biometry Cataract su,DeltaKRange,deltakrange,DeltaKRange,event,event,Cataracts Biometry Cataract su DeltaKRange DeltaKRange
Screening Eye images and retin,screeningObservationValue,screeningobservationvalue,The value of the observation measured,event,event,Screening Eye images and retin screeningObservationValue The value of the observation measured
Cataracts Biometry Cataract su,mm_K2FE,mm_k2fe,mm K2FE,event,event,Cataracts Biometry Cataract su mm_K2FE mm K2FE
Grading Eye images and retinop,encounterOrderAsc,encounterorderasc,Patients may have several encounters  This gives the order of the encounters from the oldest  value of 1  ascending to the newest,event,event,Grading Eye images and retinop encounterOrderAsc Patients may have several encounters  This gives the order of the encounters from the oldest  value of 1  ascending to the newest
Cataracts Biometry Cataract su,ACD,acd,ACD,event,event,Cataracts Biometry Cataract su ACD ACD
Cataracts Biometry Cataract su,WTWDistance,wtwdistance,WTWDistance,event,event,Cataracts Biometry Cataract su WTWDistance WTWDistance
Observations Eye images and re,laterality,laterality,laterality of observation  if known or if appropriate,event,event,Observations Eye images and re laterality laterality of observation  if known or if appropriate
Cataracts Biometry Cataract su,laterality,laterality,right or left eye,event,event,Cataracts Biometry Cataract su laterality right or left eye
Observations Eye images and re,observationName,observationname,Name of the observation being recorded,event,event,Observations Eye images and re observationName Name of the observation being recorded
Cataracts Biometry Cataract su,mm_K1,mm_k1,mm K1,event,event,Cataracts Biometry Cataract su mm_K1 mm K1
Cataracts Biometry Cataract su,mm_MeanKFE,mm_meankfe,mm MeanKFE,event,event,Cataracts Biometry Cataract su mm_MeanKFE mm MeanKFE
Cataracts Biometry Cataract su,DeltaKRangeFE,deltakrangefe,DeltaKRangeFE,event,event,Cataracts Biometry Cataract su DeltaKRangeFE DeltaKRangeFE
f clinical Optimum Patient Car,numeric_1,numeric_1,Numerical field for certain events,event,event,f clinical Optimum Patient Car numeric_1 Numerical field for certain events
Microbiology   Tayside Tests,Result_original,result_original,No Column Description Available,event,event,Microbiology   Tayside Tests Result_original No Column Description Available
Immunology  Extractable Immuno,hic_DerivedResult,hic_derivedresult,Due to the combination of old and new data the actual result field is spread across three columns  Result  Interpretation  in the new system  and origResult  in the old system   In all cases there should be at least 1 value in one of these columns  This is a derived column which selects the most appropriate value  if any  of these 3 columns  Also supplied seperately  in a single column for ease of access  ,event,event,Immunology  Extractable Immuno hic_DerivedResult Due to the combination of old and new data the actual result field is spread across three columns  Result  Interpretation  in the new system  and origResult  in the old system   In all cases there should be at least 1 value in one of these columns  This is a derived column which selects the most appropriate value  if any  of these 3 columns  Also supplied seperately  in a single column for ease of access  
Cataracts Biometry Cataract su,Dioptres_MeanK,dioptres_meank,Dioptres MeanK,event,event,Cataracts Biometry Cataract su Dioptres_MeanK Dioptres MeanK
Cataracts Biometry Cataract su,Dioptres_MeanKRangeFE,dioptres_meankrangefe,Dioptres MeanKRangeFE,event,event,Cataracts Biometry Cataract su Dioptres_MeanKRangeFE Dioptres MeanKRangeFE
Cataracts Biometry Cataract su,CataractID,cataractid,CataractID,event,event,Cataracts Biometry Cataract su CataractID CataractID
Pathology  Tayside ,AllDiagnosisCodes,alldiagnosiscodes,SNOMED codes applied by the pathologist to best describe the tissue  T code  and diagnosis  M code usually but can be a D  E or F code  within the limits of the system  The SNOMED version that we have been using up to date is SNOMED II which is a rather old system and is likely to be replaced soon  ,event,event,Pathology  Tayside  AllDiagnosisCodes SNOMED codes applied by the pathologist to best describe the tissue  T code  and diagnosis  M code usually but can be a D  E or F code  within the limits of the system  The SNOMED version that we have been using up to date is SNOMED II which is a rather old system and is likely to be replaced soon  
Cataracts Biometry Cataract su,AxialLength,axiallength,AxialLength,event,event,Cataracts Biometry Cataract su AxialLength AxialLength
Cataracts Biometry Cataract su,Meridian_K1,meridian_k1,Meridian K1,event,event,Cataracts Biometry Cataract su Meridian_K1 Meridian K1
Cataracts Biometry Cataract su,mm_MeanK,mm_meank,mm MeanK,event,event,Cataracts Biometry Cataract su mm_MeanK mm MeanK
Observations Eye images and re,observationValue,observationvalue,The value recorded for the observation,event,event,Observations Eye images and re observationValue The value recorded for the observation
Cataracts Biometry Cataract su,Meridian_K2,meridian_k2,Meridian K2,event,event,Cataracts Biometry Cataract su Meridian_K2 Meridian K2
Cataracts Biometry Cataract su,AxialLengthRangeFE,axiallengthrangefe,AxialLengthRangeFE,event,event,Cataracts Biometry Cataract su AxialLengthRangeFE AxialLengthRangeFE
Cataracts Biometry Cataract su,OperationID,operationid,OperationID,event,event,Cataracts Biometry Cataract su OperationID OperationID
Cataracts Biometry Cataract su,IOLPowerFE,iolpowerfe,IOLPowerFE,event,event,Cataracts Biometry Cataract su IOLPowerFE IOLPowerFE
Cataracts Biometry Cataract su,mm_K2,mm_k2,mm K2,event,event,Cataracts Biometry Cataract su mm_K2 mm K2
Immunology  Extractable Immuno,Source_code,source_code,This field represents the code for where the test was done  e g  N1   NW Ward 1    This field does contain practice codes if the test was performed at a practice ,event,event,Immunology  Extractable Immuno Source_code This field represents the code for where the test was done  e g  N1   NW Ward 1    This field does contain practice codes if the test was performed at a practice 
Immunology  Extractable Immuno,origResult,origresult,This field represents the original result field from the lab system  HIC extracts the decimal part and puts it in the Result field  Any non numeric values go into the Comment field   For some tests where results are recorded as GT or LT or Negative Positive  eg GT60 for eGFR tests  then this field will have to be used ,event,event,Immunology  Extractable Immuno origResult This field represents the original result field from the lab system  HIC extracts the decimal part and puts it in the Result field  Any non numeric values go into the Comment field   For some tests where results are recorded as GT or LT or Negative Positive  eg GT60 for eGFR tests  then this field will have to be used 
Haematology  Lab Data Restruct,ArithmeticComparator,arithmeticcomparator,This field contains additional information to be used in conjunction with the numeric result field QuantityValue  The contents should be interpreted along with the QuantityValue  for example  some EGFR results may be reported as QuantityValue   60  with ArithmeticComparator       This means the result is greater than 60  ,event,event,Haematology  Lab Data Restruct ArithmeticComparator This field contains additional information to be used in conjunction with the numeric result field QuantityValue  The contents should be interpreted along with the QuantityValue  for example  some EGFR results may be reported as QuantityValue   60  with ArithmeticComparator       This means the result is greater than 60  
Cataracts Biometry Cataract su,AConstantValueFE,aconstantvaluefe,AConstantValueFE,event,event,Cataracts Biometry Cataract su AConstantValueFE AConstantValueFE
Haematology  Lab Data Restruct,QuantityValue,quantityvalue,The result of the test being carried out  This field contains numeric data only   ,event,event,Haematology  Lab Data Restruct QuantityValue The result of the test being carried out  This field contains numeric data only   
Observations Eye images and re,drProcedureId,drprocedureid,The UUID of the procedure consistituting grading and outcome ,key,key,Observations Eye images and re drProcedureId The UUID of the procedure consistituting grading and outcome 
d patient Optimum Patient Care,practice_id,practice_id,Practice ID linking to d practice,key,key,d patient Optimum Patient Care practice_id Practice ID linking to d practice
Biochemistry  Lab Data Restruc,TestResultOrder,testresultorder,Part of the internal HIC primary key used in linking the Labs data together  This field should be used in communicating record specific queries with HIC as it allows us to locate the record in question  This is a unique identifier assigned by the lab system based on the order in which the tests were run on the sample  For legacy data  TS  07   the value of this field is imputed   ,key,key,Biochemistry  Lab Data Restruc TestResultOrder Part of the internal HIC primary key used in linking the Labs data together  This field should be used in communicating record specific queries with HIC as it allows us to locate the record in question  This is a unique identifier assigned by the lab system based on the order in which the tests were run on the sample  For legacy data  TS  07   the value of this field is imputed   
Haematology  Lab Data Restruct,LabNumber,labnumber,Part of the internal HIC primary key used in linking the Labs data together  This is a unique identifier assigned by the lab system  This field should be used in communicating record specific queries with HIC as it allows us to locate the record in question   ,key,key,Haematology  Lab Data Restruct LabNumber Part of the internal HIC primary key used in linking the Labs data together  This is a unique identifier assigned by the lab system  This field should be used in communicating record specific queries with HIC as it allows us to locate the record in question   
Haematology  Lab Data Restruct,TestIdentifier,testidentifier,This field represents a unique number to the patient and test and is anonymised on extraction ,key,key,Haematology  Lab Data Restruct TestIdentifier This field represents a unique number to the patient and test and is anonymised on extraction 
Haematology  Lab Data Restruct,hic_resultID,hic_resultid,No Column Description Available,key,key,Haematology  Lab Data Restruct hic_resultID No Column Description Available
