Source,Field,Field(lower),Tokenized Source,Descriptor,Tokenized Descriptor,Label,category,text
Cataracts Biometry Cataract su,AxialLengthRange,axiallengthrange,cataracts biometry cataract su,AxialLengthRange,axiallengthrange,event,event,cataracts biometry cataract su axiallengthrange axiallengthrange
Biochemistry  Lab Data Restruc,LocalClinicalCodeDescription,localclinicalcodedescription,biochemistry lab data restruc,Description of LocalClinicalCode ,description localclinicalcode,event,event,biochemistry lab data restruc localclinicalcodedescription description localclinicalcode
Biochemistry  Lab Data Restruc,ClinicalCircumstanceDescription,clinicalcircumstancedescription,biochemistry lab data restruc,This is a textual description supplied by the local lab systems  ,textual description supplied local lab systems,event,event,biochemistry lab data restruc clinicalcircumstancedescription textual description supplied local lab systems
f clinical Optimum Patient Car,numeric_2,numeric_2,f clinical optimum patient car,Secondary numerical field  esp  used for measures implying succession or multiple takes,secondary numerical field esp used measures implying succession multiple takes,event,event,f clinical optimum patient car numeric_2 secondary numerical field esp used measures implying succession multiple takes
Biochemistry  Lab Data Restruc,ReadCodeValue,readcodevalue,biochemistry lab data restruc,The read code allocated to the test  This field is useful as a standardised grouping for the tests  for example  if you are looking in Serum Total Cholesterol  all records marked with 44P  represent this regardless of the localClinicalCode provided  HIC Observation  Restructuring has significantly improved the quality and accuracy of this field  For legacy data  field completion rates are much greater  with over 95  of the legacy results now featuring a read code  HIC have also developed a lookup table  which will be used throughout the data project lifecycle and released along with this data set  ,read code allocated test field useful standardised grouping tests example looking serum total cholesterol records marked 44p represent regardless localclinicalcode provided hic observation restructuring significantly improved quality accuracy field legacy data field completion rates much greater 95 legacy results featuring read code hic also developed lookup table used throughout data project lifecycle released along data set,event,event,biochemistry lab data restruc readcodevalue read code allocated test field useful standardised grouping tests example looking serum total cholesterol records marked 44p represent regardless localclinicalcode provided hic observation restructuring significantly improved quality accuracy field legacy data field completion rates much greater 95 legacy results featuring read code hic also developed lookup table used throughout data project lifecycle released along data set
Cataracts Biometry Cataract su,ACDFE,acdfe,cataracts biometry cataract su,ACDFE,acdfe,event,event,cataracts biometry cataract su acdfe acdfe
Pathology  Tayside ,AllSpecimenTypeCodes,allspecimentypecodes,pathology tayside,The specimens field has an entry for each request can comprise a number of specimens  This field contains the codes of each of the specimens based on our attempt to best describe the tissue sent in  ,specimens field entry request comprise number specimens field contains codes specimens based attempt best describe tissue sent,event,event,pathology tayside allspecimentypecodes specimens field entry request comprise number specimens field contains codes specimens based attempt best describe tissue sent
Cataracts Biometry Cataract su,PPOR,ppor,cataracts biometry cataract su,PPOR,ppor,event,event,cataracts biometry cataract su ppor ppor
Cataracts Biometry Cataract su,PPORFE,pporfe,cataracts biometry cataract su,PPORFE,pporfe,event,event,cataracts biometry cataract su pporfe pporfe
Cataracts Biometry Cataract su,KeratometryIndex,keratometryindex,cataracts biometry cataract su,KeratometryIndex,keratometryindex,event,event,cataracts biometry cataract su keratometryindex keratometryindex
Screening Eye images and retin,screeningObservationName,screeningobservationname,screening eye images retin,The Name of the observation to be measured,name observation measured,event,event,screening eye images retin screeningobservationname name observation measured
Haematology  Lab Data Restruct,QuantityUnit,quantityunit,haematology lab data restruct,Units of measure for the test result QuantityValue field  ,units measure test result quantityvalue field,event,event,haematology lab data restruct quantityunit units measure test result quantityvalue field
Cataracts Biometry Cataract su,mm_K1FE,mm_k1fe,cataracts biometry cataract su,mm K1FE,mm k1fe,event,event,cataracts biometry cataract su mm_k1fe mm k1fe
Haematology  Lab Data Restruct,ClinicalCircumstanceDescription,clinicalcircumstancedescription,haematology lab data restruct,This is a textual description supplied by the local lab systems  ,textual description supplied local lab systems,event,event,haematology lab data restruct clinicalcircumstancedescription textual description supplied local lab systems
Biochemistry  Lab Data Restruc,SampleRequesterComment,samplerequestercomment,biochemistry lab data restruc,This field is free text ,field free text,event,event,biochemistry lab data restruc samplerequestercomment field free text
Grading Eye images and retinop,worstGradeEitherEye,worstgradeeithereye,grading eye images retinop,The worst retinal grade from whichever eye that determined the outcome,worst retinal grade whichever eye determined outcome,event,event,grading eye images retinop worstgradeeithereye worst retinal grade whichever eye determined outcome
Biochemistry  Lab Data Restruc,ReadCodeScheme,readcodescheme,biochemistry lab data restruc,Read code scheme used by the local lab system for read code fields  e g  R1 ,read code scheme used local lab system read code fields e g r1,event,event,biochemistry lab data restruc readcodescheme read code scheme used local lab system read code fields e g r1
Cataracts Biometry Cataract su,DeltaK1_D,deltak1_d,cataracts biometry cataract su,DeltaK1 D,deltak1,event,event,cataracts biometry cataract su deltak1_d deltak1
Cataracts Biometry Cataract su,Dioptres_K2FE,dioptres_k2fe,cataracts biometry cataract su,Dioptres K2FE,dioptres k2fe,event,event,cataracts biometry cataract su dioptres_k2fe dioptres k2fe
Cataracts Biometry Cataract su,A2,a2,cataracts biometry cataract su,A2,a2,event,event,cataracts biometry cataract su a2 a2
Grading Eye images and retinop,screeningOutcome,screeningoutcome,grading eye images retinop,The outcome determined from the associated observations of the encounter and grading procedure,outcome determined associated observations encounter grading procedure,event,event,grading eye images retinop screeningoutcome outcome determined associated observations encounter grading procedure
Cataracts Biometry Cataract su,DeltaK,deltak,cataracts biometry cataract su,DeltaK,deltak,event,event,cataracts biometry cataract su deltak deltak
Haematology  Lab Data Restruct,Interpretation,interpretation,haematology lab data restruct,Contains comments regarding the result  ,contains comments regarding result,event,event,haematology lab data restruct interpretation contains comments regarding result
Haematology  Lab Data Restruct,SampleName,samplename,haematology lab data restruct,This indicates the type of sample taken for the test  Sample types include  B   Blood C   Cerebrospinal FA   Faeces F   Fluid FO   Floride Oxalate H   Hair LI   Liver Biopsy M   Miscellaneous MU   Muscle Biopsy SK   Skin Biopsy ST   Stone SW   Sweat U   Urine W   Water  can also include full textual descriptions   ,indicates type sample taken test sample types include b blood c cerebrospinal fa faeces f fluid fo floride oxalate h hair li liver biopsy miscellaneous mu muscle biopsy sk skin biopsy st stone sw sweat u urine w water also include full textual descriptions,event,event,haematology lab data restruct samplename indicates type sample taken test sample types include b blood c cerebrospinal fa faeces f fluid fo floride oxalate h hair li liver biopsy miscellaneous mu muscle biopsy sk skin biopsy st stone sw sweat u urine w water also include full textual descriptions
Cataracts Biometry Cataract su,A0FE,a0fe,cataracts biometry cataract su,A0FE,a0fe,event,event,cataracts biometry cataract su a0fe a0fe
Biochemistry  Lab Data Restruc,ServiceProviderComment,serviceprovidercomment,biochemistry lab data restruc,For legacy data  this field tells you how the SampleName field was derived  Where SampleName is completed  the decision on which original sample type to take is coded as follows   RCA   The sample was derived during HICs Read Code Analysis workshops  HIC  assisted by researchers  clinicians  and validated by Tayside laboratory experts used all of the available data to assign standardised read codes to a large portion of the data  95     The SampleName was derived from the allocated read code   Header   lkp   Both legacy sample header and legacy HIC lookup value for the relevant test code matched   lkp in header   The legacy sample header consisted of multiple values  e g   B   U   FO    but contained the HIC lookup value  e g   Blood   for the relevant test code  For this example  the final SampleName value would be  Blood    header only   There was no information available other than the legacy sample header type   lkp only   There was no information available other than the legacy HIC lookup sample type for the relevant test code  For SampleName    Unknown   no lkp  no header    No information stored in either legacy header or look up for the test code   Header only   Only a legacy header sample type was provided  and is ambiguous  e g   B   FO   M  This original value is recorded in this field  for this example  the stored value would be  Header only   B   FO   M   Header      Lookup         The legacy header and sample type provide conflicting values  This field also records the original values   ,legacy data field tells samplename field derived samplename completed decision original sample type take coded follows rca sample derived hics read code analysis workshops hic assisted researchers clinicians validated tayside laboratory experts used available data assign standardised read codes large portion data 95 samplename derived allocated read code header lkp legacy sample header legacy hic lookup value relevant test code matched lkp header legacy sample header consisted multiple values e g b u fo contained hic lookup value e g blood relevant test code example final samplename value would blood header information available legacy sample header type lkp information available legacy hic lookup sample type relevant test code samplename unknown lkp header information stored either legacy header look test code header legacy header sample type provided ambiguous e g b fo original value recorded field example stored value would header b fo header lookup legacy header sample type provide conflicting values field also records original values,event,event,biochemistry lab data restruc serviceprovidercomment legacy data field tells samplename field derived samplename completed decision original sample type take coded follows rca sample derived hics read code analysis workshops hic assisted researchers clinicians validated tayside laboratory experts used available data assign standardised read codes large portion data 95 samplename derived allocated read code header lkp legacy sample header legacy hic lookup value relevant test code matched lkp header legacy sample header consisted multiple values e g b u fo contained hic lookup value e g blood relevant test code example final samplename value would blood header information available legacy sample header type lkp information available legacy hic lookup sample type relevant test code samplename unknown lkp header information stored either legacy header look test code header legacy header sample type provided ambiguous e g b fo original value recorded field example stored value would header b fo header lookup legacy header sample type provide conflicting values field also records original values
Immunology  Extractable Immuno,Comment,comment,immunology extractable immuno,This field represents additional information from the laboratory system in free text   It might contain additional information about the laboratory test ,field represents additional information laboratory system free text might contain additional information laboratory test,event,event,immunology extractable immuno comment field represents additional information laboratory system free text might contain additional information laboratory test
Cataracts Biometry Cataract su,A2FE,a2fe,cataracts biometry cataract su,A2FE,a2fe,event,event,cataracts biometry cataract su a2fe a2fe
Cataracts Biometry Cataract su,Dioptres_MeanKFE,dioptres_meankfe,cataracts biometry cataract su,Dioptres MeanKFE,dioptres meankfe,event,event,cataracts biometry cataract su dioptres_meankfe dioptres meankfe
Cataracts Biometry Cataract su,A1,a1,cataracts biometry cataract su,A1,a1,event,event,cataracts biometry cataract su a1 a1
Cataracts Biometry Cataract su,DeltaKFE,deltakfe,cataracts biometry cataract su,DeltaKFE,deltakfe,event,event,cataracts biometry cataract su deltakfe deltakfe
Cataracts Biometry Cataract su,Dioptres_K1FE,dioptres_k1fe,cataracts biometry cataract su,Dioptres K1FE,dioptres k1fe,event,event,cataracts biometry cataract su dioptres_k1fe dioptres k1fe
Cataracts Biometry Cataract su,KeratometryIndexFE,keratometryindexfe,cataracts biometry cataract su,KeratometryIndexFE,keratometryindexfe,event,event,cataracts biometry cataract su keratometryindexfe keratometryindexfe
Cataracts Biometry Cataract su,Dioptres_K2,dioptres_k2,cataracts biometry cataract su,Dioptres K2,dioptres k2,event,event,cataracts biometry cataract su dioptres_k2 dioptres k2
Immunology  Extractable Immuno,Interpretation,interpretation,immunology extractable immuno,This field represents comments regarding the result in free text ,field represents comments regarding result free text,event,event,immunology extractable immuno interpretation field represents comments regarding result free text
Cataracts Biometry Cataract su,DeltaKRange,deltakrange,cataracts biometry cataract su,DeltaKRange,deltakrange,event,event,cataracts biometry cataract su deltakrange deltakrange
Screening Eye images and retin,screeningObservationValue,screeningobservationvalue,screening eye images retin,The value of the observation measured,value observation measured,event,event,screening eye images retin screeningobservationvalue value observation measured
Cataracts Biometry Cataract su,mm_K2FE,mm_k2fe,cataracts biometry cataract su,mm K2FE,mm k2fe,event,event,cataracts biometry cataract su mm_k2fe mm k2fe
Grading Eye images and retinop,encounterOrderAsc,encounterorderasc,grading eye images retinop,Patients may have several encounters  This gives the order of the encounters from the oldest  value of 1  ascending to the newest,patients may several encounters gives order encounters oldest value 1 ascending newest,event,event,grading eye images retinop encounterorderasc patients may several encounters gives order encounters oldest value 1 ascending newest
Cataracts Biometry Cataract su,ACD,acd,cataracts biometry cataract su,ACD,acd,event,event,cataracts biometry cataract su acd acd
Cataracts Biometry Cataract su,WTWDistance,wtwdistance,cataracts biometry cataract su,WTWDistance,wtwdistance,event,event,cataracts biometry cataract su wtwdistance wtwdistance
Observations Eye images and re,laterality,laterality,observations eye images,laterality of observation  if known or if appropriate,laterality observation known appropriate,event,event,observations eye images laterality laterality observation known appropriate
Cataracts Biometry Cataract su,laterality,laterality,cataracts biometry cataract su,right or left eye,right left eye,event,event,cataracts biometry cataract su laterality right left eye
Observations Eye images and re,observationName,observationname,observations eye images,Name of the observation being recorded,name observation recorded,event,event,observations eye images observationname name observation recorded
Cataracts Biometry Cataract su,mm_K1,mm_k1,cataracts biometry cataract su,mm K1,mm k1,event,event,cataracts biometry cataract su mm_k1 mm k1
Cataracts Biometry Cataract su,mm_MeanKFE,mm_meankfe,cataracts biometry cataract su,mm MeanKFE,mm meankfe,event,event,cataracts biometry cataract su mm_meankfe mm meankfe
Cataracts Biometry Cataract su,DeltaKRangeFE,deltakrangefe,cataracts biometry cataract su,DeltaKRangeFE,deltakrangefe,event,event,cataracts biometry cataract su deltakrangefe deltakrangefe
f clinical Optimum Patient Car,numeric_1,numeric_1,f clinical optimum patient car,Numerical field for certain events,numerical field certain events,event,event,f clinical optimum patient car numeric_1 numerical field certain events
Microbiology   Tayside Tests,Result_original,result_original,microbiology tayside tests,No Column Description Available,column description available,event,event,microbiology tayside tests result_original column description available
Immunology  Extractable Immuno,hic_DerivedResult,hic_derivedresult,immunology extractable immuno,Due to the combination of old and new data the actual result field is spread across three columns  Result  Interpretation  in the new system  and origResult  in the old system   In all cases there should be at least 1 value in one of these columns  This is a derived column which selects the most appropriate value  if any  of these 3 columns  Also supplied seperately  in a single column for ease of access  ,due combination old new data actual result field spread across three columns result interpretation new system origresult old system cases least 1 value one columns derived column selects appropriate value 3 columns also supplied seperately single column ease access,event,event,immunology extractable immuno hic_derivedresult due combination old new data actual result field spread across three columns result interpretation new system origresult old system cases least 1 value one columns derived column selects appropriate value 3 columns also supplied seperately single column ease access
Cataracts Biometry Cataract su,Dioptres_MeanK,dioptres_meank,cataracts biometry cataract su,Dioptres MeanK,dioptres meank,event,event,cataracts biometry cataract su dioptres_meank dioptres meank
Cataracts Biometry Cataract su,Dioptres_MeanKRangeFE,dioptres_meankrangefe,cataracts biometry cataract su,Dioptres MeanKRangeFE,dioptres meankrangefe,event,event,cataracts biometry cataract su dioptres_meankrangefe dioptres meankrangefe
Cataracts Biometry Cataract su,CataractID,cataractid,cataracts biometry cataract su,CataractID,cataractid,event,event,cataracts biometry cataract su cataractid cataractid
Pathology  Tayside ,AllDiagnosisCodes,alldiagnosiscodes,pathology tayside,SNOMED codes applied by the pathologist to best describe the tissue  T code  and diagnosis  M code usually but can be a D  E or F code  within the limits of the system  The SNOMED version that we have been using up to date is SNOMED II which is a rather old system and is likely to be replaced soon  ,snomed codes applied pathologist best describe tissue code diagnosis code usually e f code within limits system snomed version using date snomed ii rather old system likely replaced soon,event,event,pathology tayside alldiagnosiscodes snomed codes applied pathologist best describe tissue code diagnosis code usually e f code within limits system snomed version using date snomed ii rather old system likely replaced soon
Cataracts Biometry Cataract su,AxialLength,axiallength,cataracts biometry cataract su,AxialLength,axiallength,event,event,cataracts biometry cataract su axiallength axiallength
Cataracts Biometry Cataract su,Meridian_K1,meridian_k1,cataracts biometry cataract su,Meridian K1,meridian k1,event,event,cataracts biometry cataract su meridian_k1 meridian k1
Cataracts Biometry Cataract su,mm_MeanK,mm_meank,cataracts biometry cataract su,mm MeanK,mm meank,event,event,cataracts biometry cataract su mm_meank mm meank
Observations Eye images and re,observationValue,observationvalue,observations eye images,The value recorded for the observation,value recorded observation,event,event,observations eye images observationvalue value recorded observation
Cataracts Biometry Cataract su,Meridian_K2,meridian_k2,cataracts biometry cataract su,Meridian K2,meridian k2,event,event,cataracts biometry cataract su meridian_k2 meridian k2
Cataracts Biometry Cataract su,AxialLengthRangeFE,axiallengthrangefe,cataracts biometry cataract su,AxialLengthRangeFE,axiallengthrangefe,event,event,cataracts biometry cataract su axiallengthrangefe axiallengthrangefe
Cataracts Biometry Cataract su,OperationID,operationid,cataracts biometry cataract su,OperationID,operationid,event,event,cataracts biometry cataract su operationid operationid
Cataracts Biometry Cataract su,IOLPowerFE,iolpowerfe,cataracts biometry cataract su,IOLPowerFE,iolpowerfe,event,event,cataracts biometry cataract su iolpowerfe iolpowerfe
Cataracts Biometry Cataract su,mm_K2,mm_k2,cataracts biometry cataract su,mm K2,mm k2,event,event,cataracts biometry cataract su mm_k2 mm k2
Immunology  Extractable Immuno,Source_code,source_code,immunology extractable immuno,This field represents the code for where the test was done  e g  N1   NW Ward 1    This field does contain practice codes if the test was performed at a practice ,field represents code test done e g n1 nw ward 1 field contain practice codes test performed practice,event,event,immunology extractable immuno source_code field represents code test done e g n1 nw ward 1 field contain practice codes test performed practice
